service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,fromFile,day,stop_name,delay_mins
2021-11-04,64,Inbound,53490698,1116,alrmp,3,Midpoint,Schedule,1900-01-01T07:21:00Z,1900-01-01T07:27:22Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,6.37
2021-11-04,64,Inbound,53490695,2231,kndl,5,Endpoint,Schedule,1900-01-01T07:22:00Z,1900-01-01T07:11:33Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-10.45
2021-11-04,64,Inbound,53490698,1059,cntsq,4,Midpoint,Schedule,1900-01-01T07:27:00Z,1900-01-01T07:30:54Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,3.9
2021-11-04,64,Inbound,53490703,1110,union,2,Midpoint,Schedule,1900-01-01T07:32:00Z,1900-01-01T07:31:36Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,-0.4
2021-11-04,64,Inbound,53490706,1214,oaksq,1,Startpoint,Schedule,1900-01-01T07:37:00Z,1900-01-01T07:46:34Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,9.57
2021-11-04,64,Inbound,53490698,2231,kndl,5,Endpoint,Schedule,1900-01-01T07:42:00Z,1900-01-01T07:38:19Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-3.68
2021-11-04,64,Inbound,53490703,1116,alrmp,3,Midpoint,Schedule,1900-01-01T07:43:00Z,1900-01-01T07:39:04Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,-3.93
2021-11-04,64,Inbound,53490706,1110,union,2,Midpoint,Schedule,1900-01-01T07:50:00Z,1900-01-01T08:02:10Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,12.17
2021-11-04,64,Inbound,53490711,1214,oaksq,1,Startpoint,Schedule,1900-01-01T07:53:00Z,1900-01-01T07:52:56Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,-0.07
2021-11-04,64,Inbound,53490703,1059,cntsq,4,Midpoint,Schedule,1900-01-01T07:54:00Z,1900-01-01T07:43:07Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-10.88
2021-11-04,64,Inbound,53490706,1116,alrmp,3,Midpoint,Schedule,1900-01-01T08:01:00Z,1900-01-01T08:07:07Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,6.12
